QC_RUN_ID,PREP_DATE,PFAS,RESULT,REMARK,MDL,RL,UNITS
OP75017,5/14/2019,4:2 Fluorotelomer sulfonate,Not detected,,0.002,0.008,µg/l
OP75062,5/16/2019,4:2 Fluorotelomer sulfonate,Not detected,,0.002,0.008,µg/l
OP75150,5/22/2019,4:2 Fluorotelomer sulfonate,Not detected,,0.002,0.008,µg/l
OP75150,5/22/2019,4:2 Fluorotelomer sulfonate,Not detected,,0.002,0.008,µg/l
OP75150,5/22/2019,4:2 Fluorotelomer sulfonate,Not detected,,0.002,0.008,µg/l
OP75171,5/23/2019,4:2 Fluorotelomer sulfonate,Not detected,,0.002,0.008,µg/l
OP75212,5/28/2019,4:2 Fluorotelomer sulfonate,Not detected,,0.002,0.008,µg/l
OP75240,5/29/2019,4:2 Fluorotelomer sulfonate,Not detected,,0.002,0.008,µg/l
OP75296,6/3/2019,4:2 Fluorotelomer sulfonate,Not detected,,0.002,0.008,µg/l
OP75356,6/7/2019,4:2 Fluorotelomer sulfonate,Not detected,,0.002,0.008,µg/l
OP75408,6/11/2019,4:2 Fluorotelomer sulfonate,Not detected,,0.002,0.008,µg/l
OP75416,6/12/2019,4:2 Fluorotelomer sulfonate,Not detected,,0.002,0.008,µg/l
OP75435,6/13/2019,4:2 Fluorotelomer sulfonate,Not detected,,0.002,0.008,µg/l
OP75528,6/19/2019,4:2 Fluorotelomer sulfonate,Not detected,,0.002,0.008,µg/l
OP75544,6/20/2019,4:2 Fluorotelomer sulfonate,Not detected,,0.002,0.008,µg/l
OP75544,6/20/2019,4:2 Fluorotelomer sulfonate,Not detected,,0.002,0.008,µg/l
OP75555,6/20/2019,4:2 Fluorotelomer sulfonate,Not detected,,0.002,0.008,µg/l
OP75639,6/26/2019,4:2 Fluorotelomer sulfonate,Not detected,,0.002,0.008,µg/l
OP75655,6/26/2019,4:2 Fluorotelomer sulfonate,Not detected,,0.002,0.008,µg/l
OP75699,6/29/2019,4:2 Fluorotelomer sulfonate,Not detected,,0.004,0.016,µg/l
OP75738,7/2/2019,4:2 Fluorotelomer sulfonate,Not detected,,0.002,0.008,µg/l
OP75769,7/5/2019,4:2 Fluorotelomer sulfonate,Not detected,,0.002,0.008,µg/l
OP75792,7/8/2019,4:2 Fluorotelomer sulfonate,Not detected,,0.002,0.008,µg/l
OP75844,7/10/2019,4:2 Fluorotelomer sulfonate,Not detected,,0.002,0.008,µg/l
OP75862,7/11/2019,4:2 Fluorotelomer sulfonate,Not detected,,0.002,0.008,µg/l
OP75894,7/15/2019,4:2 Fluorotelomer sulfonate,Not detected,,0.002,0.008,µg/l
OP75989,7/19/2019,4:2 Fluorotelomer sulfonate,Not detected,,0.002,0.008,µg/l
OP76027,7/23/2019,4:2 Fluorotelomer sulfonate,Not detected,,0.002,0.008,µg/l
OP76048,7/25/2019,4:2 Fluorotelomer sulfonate,Not detected,,0.002,0.008,µg/l
OP76062,7/26/2019,4:2 Fluorotelomer sulfonate,Not detected,,0.004,0.016,µg/l
OP76155,8/1/2019,4:2 Fluorotelomer sulfonate,Not detected,,0.002,0.008,µg/l
OP76226,8/6/2019,4:2 Fluorotelomer sulfonate,Not detected,,0.004,0.016,µg/l
OP76270,8/8/2019,4:2 Fluorotelomer sulfonate,Not detected,,0.002,0.008,µg/l
OP76335,8/13/2019,4:2 Fluorotelomer sulfonate,Not detected,,0.002,0.008,µg/l
