QC_RUN_ID,PREP_DATE,PFAS,RGTSPK,RGTSPK_Q,MTXSPK,MTXSPK_Q,MTXSPKD,MTXSPKD_Q
OP75017,5/14/2019,4_2 FTS,97,,88,,,
OP75062,5/16/2019,4_2 FTS,96,,98,,,
OP75150,5/22/2019,4_2 FTS,97,,88,,,
OP75150,5/22/2019,4_2 FTS,97,,88,,,
OP75150,5/22/2019,4_2 FTS,97,,88,,,
OP75171,5/23/2019,4_2 FTS,107,,115,,,
OP75212,5/28/2019,4_2 FTS,121,,124,,,
OP75240,5/29/2019,4_2 FTS,96,,86,,,
OP75296,6/3/2019,4_2 FTS,103,,55,*,50,*
OP75356,6/7/2019,4_2 FTS,100,,92,,,
OP75408,6/11/2019,4_2 FTS,96,,98,,,
OP75416,6/12/2019,4_2 FTS,99,,101,,89,
OP75435,6/13/2019,4_2 FTS,89,,96,,,
OP75528,6/19/2019,4_2 FTS,96,,91,,,
OP75544,6/20/2019,4_2 FTS,98,,92,,,
OP75544,6/20/2019,4_2 FTS,98,,92,,,
OP75555,6/20/2019,4_2 FTS,89,,91,,,
OP75639,6/26/2019,4_2 FTS,100,,89,,,
OP75655,6/26/2019,4_2 FTS,95,,97,,,
OP75699,6/29/2019,4_2 FTS,91,,93,,,
OP75738,7/2/2019,4_2 FTS,98,,,,,
OP75769,7/5/2019,4_2 FTS,100,,87,,,
OP75792,7/8/2019,4_2 FTS,96,,90,,,
OP75844,7/10/2019,4_2 FTS,102,,-8,*,,
OP75862,7/11/2019,4_2 FTS,102,,104,,,
OP75894,7/15/2019,4_2 FTS,100,,99,,,
OP75989,7/19/2019,4_2 FTS,99,,101,,,
OP76027,7/23/2019,4_2 FTS,100,,104,,103,
OP76048,7/25/2019,4_2 FTS,103,,93,,,
OP76062,7/26/2019,4_2 FTS,96,,101,,99,
OP76155,8/1/2019,4_2 FTS,100,,103,,,
OP76226,8/6/2019,4_2 FTS,96,,100,,93,
OP76270,8/8/2019,4_2 FTS,94,,100,,,
OP76335,8/13/2019,4_2 FTS,104,,96,,,
OP76362,8/14/2019,4_2 FTS,104,,108,,,
OP76445,8/20/2019,4_2 FTS,102,,101,,92,
OP76488,8/22/2019,4_2 FTS,115,,109,,,
OP76509,8/23/2019,4_2 FTS,97,,109,,106,
OP76552,8/27/2019,4_2 FTS,115,,115,,,
OP76557,8/27/2019,4_2 FTS,103,,109,,,
OP76557,8/27/2019,4_2 FTS,108,,109,,,
OP76557,8/27/2019,4_2 FTS,97,,109,,,
OP76557,8/27/2019,4_2 FTS,105,,109,,,
OP76557,8/27/2019,4_2 FTS,104,,109,,,
OP76574,8/28/2019,4_2 FTS,92,,94,,95,
OP76674,9/5/2019,4_2 FTS,95,,96,,,
