NAWQA_ID,DATE,TIME,4_2 FTS-RMK,4_2 FTS-VA,6_2 FTS-RMK,6_2 FTS-VA,8_2 FTS-RMK,8_2 FTS-VA,N-EtFOSAA-RMK,N-EtFOSAA-VA,N-MeFOSAA-RMK,N-MeFOSAA-VA,PFBS-RMK,PFBS-V,PFBA-RMK,PFBA-VA,PFDS-RMK,PFDS-VA,PFDA-RMK,PFDA-VA,PFDoA-RMK,PFDoA-VA,PFHpS-RMK,PFHpS-VA,PFHpA-RMK,PFHpA-VA,PFHxS-RMK,PFHxS-VA,PFHxA-RMK,PFHxA-VA,PFNS-RMK,PFNS-VA,PFNA-RMK,PFNA-VA,PFOSA-RMK,PFOSA-VA,PFOS-RMK,PFOS-VA,PFOA-RMK,PFOA-VA,PFPeS-RMK,PFPeS-VA,PFPeA-RMK,PFPeA-VA,PFTeDA-RMK,PFTeDA-VA,PFTrDA-RMK,PFTrDA-VA,PFUnA-RMK,PFUnA-VA
MIAMSUS1-01,8/21/2019,1200,<,8.0,<,8.0,<,8.0,<,20.0,<,20.0,<,4.0,<,8.0,<,4.0,<,4.0,<,4.0,<,4.0,<,4.0,<,4.0,n,1.1,<,4.0,<,4.0,<,4.0,<,4.0,n,1.5,<,4.0,n,1.7,<,4.0,<,4.0,<,4.0
MIAMSUS1-02,7/1/2019,1100,<,7.7,<,7.7,<,7.7,<,19.0,<,19.0,n,1.1,<,7.7,<,3.8,<,3.8,<,3.8,<,3.8,<,3.8,<,3.8,<,3.8,<,3.8,<,3.8,<,3.8,<,3.8,<,3.8,<,3.8,<,3.8,<,3.8,<,3.8,<,3.8
MIAMSUS1-05,7/10/2019,1100,<,8.0,<,8.0,<,8.0,<,20.0,<,20.0,<,4.0,<,8.0,<,4.0,<,4.0,<,4.0,<,4.0,<,4.0,<,4.0,<,4.0,<,4.0,<,4.0,<,4.0,<,4.0,<,4.0,<,4.0,<,4.0,<,4.0,<,4.0,<,4.0
MIAMSUS1-06,7/11/2019,1100,<,8.0,<,8.0,<,8.0,<,20.0,<,20.0,<,4.0,<,8.0,<,4.0,<,4.0,<,4.0,<,4.0,<,4.0,<,4.0,<,4.0,<,4.0,<,4.0,<,4.0,<,4.0,<,4.0,<,4.0,<,4.0,<,4.0,<,4.0,<,4.0
MIAMSUS1-07,7/15/2019,1100,<,8.0,<,8.0,<,8.0,<,20.0,<,20.0,<,4.0,<,8.0,<,4.0,<,4.0,<,4.0,<,4.0,<,4.0,<,4.0,<,4.0,<,4.0,<,4.0,<,4.0,<,4.0,<,4.0,<,4.0,<,4.0,<,4.0,<,4.0,<,4.0
MIAMSUS1-08,7/17/2019,1100,<,8.0,<,8.0,<,8.0,<,20.0,<,4.0,,4.2,<,8.0,<,4.0,<,4.0,<,4.0,<,4.0,<,4.0,n,1.8,<,4.0,<,4.0,<,4.0,<,8.0,<,4.0,<,4.0,<,4.0,<,4.0,<,4.0,<,4.0,<,4.0
MIAMSUS1-09,7/22/2019,1100,<,6.9,<,6.9,<,6.9,<,17.0,<,17.0,<,3.4,<,6.9,<,3.4,<,3.4,<,3.4,<,3.4,<,3.4,<,3.4,<,3.4,<,3.4,<,3.4,<,3.4,<,3.4,<,3.4,<,3.4,<,3.4,<,3.4,<,3.4,<,3.4
MIAMSUS1-11,7/24/2019,1200,<,7.4,<,7.4,<,7.4,<,19.0,<,19.0,<,3.7,<,7.4,<,3.7,<,3.7,<,3.7,<,3.7,<,3.7,<,3.7,<,3.7,<,3.7,<,3.7,<,3.7,<,3.7,<,3.7,<,3.7,<,3.7,<,3.7,<,3.7,<,3.7
MIAMSUS1-13,7/29/2019,1100,<,6.9,<,6.9,<,6.9,<,17.0,<,17.0,<,3.4,<,6.9,<,3.4,<,3.4,<,3.4,<,3.4,<,3.4,<,3.4,<,3.4,<,3.4,<,3.4,<,3.4,<,3.4,<,3.4,<,3.4,<,3.4,<,3.4,<,3.4,<,3.4
MIAMSUS1-14,7/30/2019,1200,<,6.9,<,6.9,<,6.9,<,17.0,<,17.0,n,1.1,<,6.9,<,3.4,<,3.4,<,3.4,<,3.4,<,3.4,<,3.4,<,3.4,<,3.4,<,3.4,<,3.4,<,3.4,<,3.4,<,3.4,<,3.4,<,3.4,<,3.4,<,3.4
