NAWQA_ID,DATE,TIME,TURB-RMK,TURB-VA,O2-RMK,O2-VA,PH-RMK,PH-VA,SC-RMK,SC-VA,CA-RMK,CA-VA,MG-RMK,MG-VA,BR-RMK,BR-VA,CL-RMK,CL-VA,SO4-RMK,SO4-VA,TDS-RMK,TDS-VA,NH4-RMK,NH4-VA,NO3-RMK,NO3-VA,ON-RMK,ON-VA,TN-RMK,TN-VA,OP-RMK,OP-VA,DOC-RMK,DOC-VA,B-RMK,B-VA,CR-RMK,CR-VA,FE-RMK,FE-VA,MN-RMK,MN-VA,U-RMK,U-VA,V-RMK,V-VA,3H-RMK,3H-VA,3H_CSU-RMK,3H_CSU-VA,3H_SSCL-RMK,3H_SSCL-VA
MIAMSUS1-01,8/21/2019,1200,,0.2,,3.3,,7.0,,870.0,,84.7,,29.9,,0.03,,77.5,,21.1,,463,<,0.01,,3.02,<,0.15,,3.17,<,0.004,,0.5,,35,<,0.5,<,10.0,,0.46,,1.17,,0.13,,4.76,,0.24,,0.14
MIAMSUS1-02,7/1/2019,1100,,0.1,,9.6,,7.1,,662.0,,86.3,,31.7,,0.02,,18.3,,21.6,,353,<,0.01,,7.31,<,0.31,,7.62,,0.012,,0.41,,16,<,0.5,<,10.0,<,0.4,,0.56,,0.11,,4.64,,0.23,,0.12
MIAMSUS1-05,7/10/2019,1100,,0.4,,0.2,,7.0,,739.0,,105.0,,39.9,,0.017,,13.8,,83.3,,452,<,0.01,<,0.038,<,0.05,,0.05,,0.006,,0.39,,12,<,0.5,,201.0,,85.3,,1.94,<,0.1,,3.49,,0.21,,0.14
MIAMSUS1-06,7/11/2019,1100,,0.3,,0.1,,7.1,,744.0,,84.8,,30.9,,0.028,,54.9,,22.1,,382,<,0.01,<,0.04,<,0.05,<,0.05,<,0.004,,0.55,,31,<,0.5,,988.0,,333.0,,1.57,<,0.1,,4.87,,0.24,,0.13
MIAMSUS1-07,7/15/2019,1100,,0.4,,0.05,,7.0,,693.0,,95.0,,38.0,,0.018,,20.0,,59.2,,407,<,0.01,<,0.04,<,0.05,<,0.05,<,0.004,E,0.49,,22,<,0.5,,528.0,,37.7,,1.22,<,0.1,,4.64,,0.24,,0.14
MIAMSUS1-08,7/17/2019,1100,,0.2,,5.8,,6.8,,1100.0,,110.0,,40.0,,0.032,,100.0,,26.4,,630,<,0.01,,4.44,,,,4.24,,0.005,,0.72,,55,<,1.0,<,10.0,<,0.8,,0.85,<,0.2,,4.47,,0.24,,0.14
MIAMSUS1-09,7/22/2019,1100,,0.2,,5.2,,7.3,,470.0,,62.9,,20.8,,0.049,,13.1,,22.1,,255,,0.01,,0.47,,0.004,,0.49,,0.005,,0.37,,22,<,0.5,<,10.0,,4.75,,0.388,<,0.1,,5.74,,0.26,,0.13
MIAMSUS1-11,7/24/2019,1200,,0.3,,0.1,,7.1,,890.0,,93.9,,30.5,,0.041,,116.0,,45.2,,471,<,0.01,<,0.04,<,0.05,<,0.05,,0.008,,0.32,,17,<,0.5,,1630.0,,182.0,,0.499,<,0.1,,3.4,,0.2,,0.13
MIAMSUS1-13,7/29/2019,1100,,6.5,,0.2,,7.1,,971.0,,99.7,,42.3,,0.098,,87.2,,30.7,,548,,0.04,,0.571,,0.03,,0.65,,0.007,,1.22,,36,<,0.5,,2000.0,,133.0,,0.248,<,0.1,,4.97,,0.24,,0.12
MIAMSUS1-14,7/30/2019,1200,,0.1,,5.2,,7.0,,779.0,,97.6,,33.5,,0.023,,39.5,,25.4,,402,<,0.01,,4.42,,,,4.29,<,0.004,,0.41,,35,<,0.5,<,10.0,<,0.4,,0.618,<,0.1,,6.23,,0.29,,0.14
MIAMSUS1-16,8/1/2019,1100,,0.3,,4.4,,6.8,,1030.0,,114.0,,37.8,,0.038,,98.8,,25.5,,556,<,0.01,,1.42,<,0.03,,1.45,,0.008,,0.71,,25,<,1.0,<,10.0,<,0.8,,0.939,<,0.2,,4.76,,0.23,,0.12
MIAMSUS1-17,8/5/2019,1100,,0.2,,1.0,,7.0,,817.0,,90.7,,30.2,,0.032,,54.1,,47.7,,467,<,0.01,,1.05,<,0.14,,1.19,<,0.004,,0.7,,41,<,0.5,<,10.0,,1.61,,2.23,<,0.1,,4.74,,0.23,,0.13
MIAMSUS1-18,8/6/2019,1000,,0.1,,6.3,,7.0,,781.0,,100.0,,37.5,,0.034,,22.0,,57.6,,461,<,0.01,,11.7,<,1.8,,13.5,<,0.004,,0.4,,16,<,0.5,<,10.0,<,0.4,,0.858,<,0.1,,4.7,,0.23,,0.13
MIAMSUS1-19,8/7/2019,1000,,1.0,,0.2,,7.1,,738.0,,88.7,,31.5,,0.04,,43.2,,45.4,,415,<,0.01,<,0.04,<,0.05,<,0.05,<,0.004,,0.68,,34,<,0.5,,232.0,,145.0,,2.36,<,0.1,,5.35,,0.25,,0.13
MIAMSUS1-20,8/8/2019,1200,,0.2,,0.1,,6.9,,852.0,,0.538,,0.233,<,0.02,,37.0,,60.3,,526,<,0.01,<,0.04,<,0.05,<,0.05,,0.005,,0.47,,15,<,0.5,,15.9,,1.46,,2.5,<,0.1,,4.59,,0.23,,0.13
