NAWQA_ID,DATE,TIME,THIA-RMK,THIA-VA,17DIM-RMK,17DIM-VA,10HYDR-RMK,10HYDR-VA,ABAC -RMK,ABAC -VA,ACET-RMK,ACET-VA,ACYC-RMK,ACYC-VA,ALBU-RMK,ALBU-VA,ALPR-RMK,ALPR-VA,AMIT-RMK,AMIT-VA,AMPH-RMK,AMPH-VA,ANTI-RMK,ANTI-VA,ATEN-RMK,ATEN-VA,BENZ-RMK,BENZ-VA,BETA-RMK,BETA-VA,BUPR-RMK,BUPR-VA,CARB-RMK,CARB-VA,CARI-RMK,CARI-VA,CHLO-RMK,CHLO-VA,CIME-RMK,CIME-VA,CITA-RMK,CITA-VA,CLON-RMK,CLON-VA,CODE-RMK,CODE-VA,DEHY-RMK,DEHY-VA,DESM-RMK,DESM-VA,DESV-RMK,DESV-VA,DEXT-RMK,DEXT-VA,DIAZ-RMK,DIAZ-VA,DILT-RMK,DILT-VA,DIPH-RMK,DIPH-VA,DULO-RMK,DULO-VA,ERYT-RMK,ERYT-VA,EZET-RMK,EZET-VA,FADR-RMK,FADR-VA,FAMO-RMK,FAMO-VA,FENO-RMK,FENO-VA,FEXO-RMK,FEXO-VA,FLUC-RMK,FLUC-VA,FLUO-RMK,FLUO-VA,FLUT-RMK,FLUT-VA,FLUV-RMK,FLUV-VA,GLIP-RMK,GLIP-VA,GLYB-RMK,GLYB-VA,HYDRD-RMK,HYDRD-VA,HYDRC-RMK,HYDRC-VA,HYDRX-RMK,HYDRX-VA,IMIN-RMK,IMIN-VA,KETO-RMK,KETO-VA,LAMI-RMK,LAMI-VA,LIDO-RMK,LIDO-VA,LOPE-RMK,LOPE-VA,LORAT-RMK,LORAT-VA,LORAZ-RMK,LORAZ-VA,MEPR-RMK,MEPR-VA,META-RMK,META-VA,METF-RMK,METF-VA,METHD-RMK,METHD-VA,METHC-RMK,METHC-VA,METHT-RMK,METHT-VA,METO-RMK,METO-VA,MORP-RMK,MORP-VA,NADO-RMK,NADO-VA,NEVI-RMK,NEVI-VA,NIZA-RMK,NIZA-VA,NORD-RMK,NORD-VA,NORE-RMK,NORE-VA,NORF-RMK,NORF-VA,NORS-RMK,NORS-VA,NORV-RMK,NORV-VA,OMEP-RMK,OMEP-VA,OSEL-RMK,OSEL-VA,OXAZ-RMK,OXAZ-VA,OXYC-RMK,OXYC-VA,PARO-RMK,PARO-VA,PENC-RMK,PENC-VA,PENT-RMK,PENT-VA,PHENA-RMK,PHENA-VA,PHEND-RMK,PHEND-VA,PHENY-RMK,PHENY-VA,PIPE-RMK,PIPE-VA,PREDL-RMK,PREDL-VA,PREDS-RMK,PREDS-VA,PROM-RMK,PROM-VA,PROPO-RMK,PROPO-VA,PROPR-RMK,PROPR-VA,PSEU-RMK,PSEU-VA,QUIN-RMK,QUIN-VA,RALO-RMK,RALO-VA,RANI-RMK,RANI-VA,SERT-RMK,SERT-VA,SITA-RMK,SITA-VA,SULFD-RMK,SULFD-VA,SULFMZ-RMK,SULFMZ-VA,SULMX-RMK,SULMX-VA,TAMO-RMK,TAMO-VA,TEMA-RMK,TEMA-VA,THEO-RMK,THEO-VA,TIOT-RMK,TIOT-VA,TRAM-RMK,TRAM-VA,TRIA-RMK,TRIA-VA,TRIM-RMK,TRIM-VA,VALA-RMK,VALA-VA,VENL-RMK,VENL-VA,VERA-RMK,VERA-VA,WARF-RMK,WARF-VA,GABA-RMK,GABA-VA,GUAN-RMK,GUAN-VA,HEXA-RMK,HEXA-VA,RACTO-RMK,RACTO-VA
MIAMSUS1-01,8/21/2019,1200,<,11.0,<,140,<,8.3,<,2.0,<,140,<,22.0,<,6.7,<,21,<,140,<,4.4,<,50,<,20,<,44,<,114.0,<,18,<,11.0,<,20.0,<,54.0,<,140,<,6.6,<,61,<,32.0,<,20,<,70,<,84,<,8.2,<,4.0,<,10,<,48,<,37,<,140,<,205.0,<,13,<,34,<,14.0,<,96,<,30.0,<,26,<,30,<,80,<,80,<,58,<,40,<,147,<,7.4,<,145,,,<,16,<,38.0,<,140.0,<,7.0,<,202.0,<,86.0,<,16,<,20.0,<,7.6,<,11,<,52,<,10.0,<,80,<,20,<,46,<,80,<,20,<,20,<,140,<,80,<,8.6,<,16,<,15,<,226,<,25,<,264,<,80,<,9.4,<,20,<,31,<,188,<,60,<,150,<,168,,,<,28,<,26,<,6.0,<,80,<,400.0,,,<,16,<,97,<,30,<,104,<,26.0,<,270,<,18,<,80,<,200,<,7.4,<,5.2,<,20,<,163.0,<,5.2,,,<,6,<,160.0,,,<,110,<,20
MIAMSUS1-02,7/1/2019,1100,<,11.0,<,88,<,8.3,<,2.0,<,20,<,22.0,<,6.7,<,21,<,37,<,4.4,<,50,<,13,<,44,<,114.0,<,18,<,11.0,<,20.0,<,54.0,<,200,<,6.6,<,61,<,32.0,<,20,<,70,<,84,<,8.2,<,4.0,<,20,<,48,<,37,<,80,<,205.0,<,13,<,80,<,14.0,<,96,<,30.0,<,26,<,30,<,80,<,80,<,58,<,40,<,147,<,7.4,<,145,<,113.0,<,16,<,38.0,<,80.0,<,7.0,<,202.0,<,86.0,<,16,<,13.0,<,7.6,<,11,<,52,<,10.0,<,80,<,20,<,46,<,80,<,20,<,20,<,80,<,80,<,8.6,<,16,<,15,<,226,<,25,<,264,<,80,<,9.4,<,20,<,31,<,188,<,60,<,150,<,168,,,<,28,<,26,<,6.0,<,80,,,,,<,16,<,97,<,30,<,104,<,80.0,<,270,<,18,<,140,<,200,<,7.4,<,5.2,<,20,<,163.0,<,5.2,<,140.0,<,6,<,160.0,<,400.0,<,110,<,20
MIAMSUS1-05,7/10/2019,1100,<,11.0,<,88,<,8.3,<,2.0,<,20,<,22.0,<,6.7,<,21,<,37,<,4.4,<,50,<,13,<,44,<,114.0,<,18,<,11.0,<,20.0,<,54.0,<,200,<,6.6,<,61,<,32.0,<,20,<,70,<,84,<,8.2,<,4.0,<,20,<,48,<,37,<,80,<,205.0,<,13,<,80,<,14.0,<,96,<,30.0,<,26,<,30,<,80,<,80,<,58,<,40,<,147,<,7.4,<,145,<,113.0,<,16,<,38.0,<,80.0,<,7.0,<,202.0,<,86.0,<,16,<,13.0,<,7.6,<,11,<,52,<,10.0,<,80,<,20,<,46,<,80,<,20,<,20,<,80,<,80,<,8.6,<,16,<,15,<,226,<,25,<,264,<,80,<,9.4,<,20,<,31,<,188,<,60,<,150,<,168,,,<,28,<,26,<,6.0,<,80,,,,,<,16,<,97,<,30,<,104,<,80.0,<,270,<,18,<,140,<,200,<,7.4,<,5.2,<,20,<,163.0,<,5.2,<,140.0,<,6,<,160.0,<,400.0,<,110,<,20
MIAMSUS1-06,7/11/2019,1100,<,11.0,<,88,<,8.3,<,2.0,<,20,<,22.0,<,6.7,<,21,<,140,<,4.4,<,50,<,13,<,44,<,114.0,<,18,<,11.0,<,20.0,<,54.0,<,140,<,6.6,<,61,<,32.0,<,20,<,140,<,84,<,8.2,<,4.0,<,140,<,48,<,37,<,80,<,205.0,<,13,<,34,<,14.0,<,96,<,30.0,<,26,<,30,<,80,<,80,<,58,<,40,<,147,<,7.4,<,145,,,<,16,<,38.0,<,140.0,<,7.0,<,202.0,<,86.0,<,16,<,20.0,<,7.6,<,11,<,52,<,10.0,<,80,<,20,<,46,<,80,<,20,<,20,<,80,<,80,<,40.0,<,16,<,20,<,226,<,25,<,264,<,80,<,9.4,<,20,<,31,<,188,<,60,<,150,<,168,<,140.0,<,28,<,26,<,6.0,<,80,<,140.0,<,200.0,<,16,<,97,<,30,<,104,<,26.0,<,270,<,18,<,200,<,200,<,7.4,<,5.2,<,20,<,163.0,<,5.2,<,140.0,<,6,<,160.0,<,400.0,<,110,<,20
MIAMSUS1-07,7/15/2019,1100,<,11.0,<,88,<,8.3,<,2.0,<,20,<,22.0,<,6.7,<,21,<,140,<,4.4,<,50,<,13,<,44,<,114.0,<,18,<,11.0,<,20.0,<,54.0,<,140,<,6.6,<,61,<,32.0,<,20,<,140,<,84,<,8.2,<,4.0,<,140,<,48,<,37,<,80,<,205.0,<,13,<,34,<,14.0,<,96,<,30.0,<,26,<,30,<,80,<,80,<,58,<,40,<,147,<,7.4,<,145,,,<,16,<,38.0,<,140.0,<,7.0,<,202.0,<,86.0,<,16,<,20.0,<,7.6,<,11,<,52,<,10.0,<,80,<,20,<,46,<,80,<,20,<,20,<,80,<,80,<,40.0,<,16,<,20,<,226,<,25,<,264,<,80,<,9.4,<,20,<,31,<,188,<,60,<,150,<,168,<,140.0,<,28,<,26,<,6.0,<,80,<,140.0,<,200.0,<,16,<,97,<,30,<,104,<,26.0,<,270,<,18,<,200,<,200,<,7.4,<,5.2,<,20,<,163.0,<,5.2,<,140.0,<,6,<,160.0,<,400.0,<,110,<,20
MIAMSUS1-08,7/17/2019,1100,<,11.0,<,88,<,8.3,<,2.0,<,20,<,22.0,<,6.7,<,21,<,140,<,4.4,<,50,<,13,<,44,<,114.0,<,18,<,11.0,<,20.0,<,54.0,<,140,<,6.6,<,61,<,32.0,<,20,<,140,<,84,<,8.2,<,4.0,<,140,<,48,<,37,<,80,<,205.0,<,13,<,34,<,14.0,<,96,<,30.0,<,26,<,30,<,80,<,80,<,58,<,40,<,147,<,7.4,<,145,,,<,16,<,38.0,<,140.0,<,7.0,<,202.0,<,86.0,<,16,<,20.0,<,7.6,<,11,<,52,<,10.0,<,80,<,20,<,46,<,80,<,20,<,20,<,80,<,80,<,40.0,<,16,<,20,<,226,<,25,<,264,<,80,<,9.4,<,20,<,31,<,188,<,60,<,150,<,168,<,140.0,<,28,<,26,<,6.0,<,80,<,140.0,<,200.0,<,16,<,97,<,30,<,104,<,26.0,<,270,<,18,<,200,<,200,<,7.4,<,5.2,<,20,<,163.0,<,5.2,<,140.0,<,6,<,160.0,<,400.0,<,110,<,20
MIAMSUS1-09,7/22/2019,1100,<,11.0,<,88,<,8.3,<,2.0,<,20,<,22.0,<,6.7,<,21,<,140,<,4.4,<,50,<,13,<,44,<,114.0,<,18,<,11.0,<,20.0,<,54.0,<,140,<,6.6,<,61,<,32.0,<,20,<,140,<,84,<,8.2,<,4.0,<,140,<,48,<,37,<,80,<,205.0,<,13,<,34,<,14.0,<,96,<,30.0,<,26,<,30,<,80,<,80,<,58,<,40,<,147,<,7.4,<,145,,,<,16,<,38.0,<,140.0,<,7.0,<,202.0,<,86.0,<,16,<,20.0,<,7.6,<,11,<,52,<,10.0,<,80,<,20,<,46,<,80,<,20,<,20,<,80,<,80,<,40.0,<,16,<,20,<,226,<,25,<,264,<,80,<,9.4,<,20,<,31,<,188,<,60,<,150,<,168,<,140.0,<,28,<,26,<,6.0,<,80,<,140.0,<,200.0,<,16,<,97,<,30,<,104,<,26.0,<,270,<,18,<,200,<,200,<,7.4,<,5.2,<,20,<,163.0,<,5.2,<,140.0,<,6,<,160.0,<,400.0,<,110,<,20
MIAMSUS1-11,7/24/2019,1200,<,11.0,<,140,<,8.3,<,2.0,<,20,<,22.0,<,6.7,<,21,<,37,<,4.4,<,50,<,20,<,44,<,140.0,<,18,<,11.0,<,20.0,<,54.0,<,140,<,6.6,<,61,<,32.0,<,20,<,70,<,84,<,8.2,<,4.0,<,10,<,48,<,37,<,80,<,205.0,<,13,<,34,<,14.0,<,96,<,30.0,<,26,<,30,<,80,<,80,<,58,<,40,<,147,<,7.4,<,145,<,113.0,<,16,<,38.0,<,80.0,<,7.0,<,202.0,<,86.0,<,16,<,20.0,<,7.6,<,11,<,52,<,10.0,<,80,<,20,<,46,<,80,<,20,<,20,<,80,<,80,<,8.6,<,16,<,15,<,226,<,25,<,264,<,80,<,9.4,<,13,<,31,<,200,<,60,<,150,<,168,<,114.0,<,28,<,26,<,6.0,<,80,<,80.0,<,192.0,<,16,<,97,<,30,<,104,<,26.0,<,270,<,18,<,140,<,200,<,7.4,<,5.2,<,20,<,163.0,<,5.2,<,140.0,<,6,<,160.0,<,400.0,<,110,<,20
MIAMSUS1-13,7/29/2019,1100,<,11.0,<,140,<,8.3,<,2.0,<,20,<,22.0,<,6.7,<,21,<,37,<,4.4,<,50,<,20,<,44,<,140.0,<,18,<,11.0,<,20.0,<,54.0,<,140,<,6.6,<,61,<,32.0,<,20,<,70,<,84,<,8.2,<,4.0,<,10,<,48,<,37,<,80,<,205.0,<,13,<,34,<,14.0,<,96,<,30.0,<,26,<,30,<,80,<,80,<,58,<,40,<,147,<,7.4,<,145,<,113.0,<,16,<,38.0,<,80.0,<,7.0,<,202.0,<,86.0,<,16,<,20.0,<,7.6,<,11,<,52,<,10.0,<,80,<,20,<,46,<,80,<,20,<,20,<,80,<,80,<,8.6,<,16,<,15,<,226,<,25,<,264,<,80,<,9.4,<,13,<,31,<,200,<,60,<,150,<,168,<,114.0,<,28,<,26,<,6.0,<,80,<,80.0,<,192.0,<,16,<,97,<,30,<,104,<,26.0,<,270,<,18,<,140,<,200,<,7.4,<,5.2,<,20,<,163.0,<,5.2,<,140.0,<,6,<,160.0,<,400.0,<,110,<,20
MIAMSUS1-14,7/30/2019,1200,<,11.0,<,140,<,8.3,<,2.0,<,20,<,22.0,<,6.7,<,21,<,37,<,4.4,<,50,<,20,<,44,<,140.0,<,18,<,11.0,<,20.0,<,54.0,<,140,<,6.6,<,61,<,32.0,<,20,<,70,<,84,<,8.2,<,4.0,<,10,<,48,<,37,<,80,<,205.0,<,13,<,34,<,14.0,<,96,<,30.0,<,26,<,30,<,80,<,80,<,58,<,40,<,147,<,7.4,<,145,<,113.0,<,16,<,38.0,<,80.0,<,7.0,<,202.0,<,86.0,<,16,<,20.0,<,7.6,<,11,<,52,<,10.0,<,80,<,20,<,46,<,80,<,20,<,20,<,80,<,80,<,8.6,<,16,<,15,<,226,<,25,<,264,<,80,<,9.4,<,13,<,31,<,200,<,60,<,150,<,168,<,114.0,<,28,<,26,<,6.0,<,80,<,80.0,<,192.0,<,16,<,97,<,30,<,104,<,26.0,<,270,<,18,<,140,<,200,<,7.4,<,5.2,<,20,<,163.0,<,5.2,<,140.0,<,6,<,160.0,<,400.0,<,110,<,20
