NAWQA_ID,DATE,TIME,4_2 FTS-RMK,4_2 FTS-VA,6_2 FTS-RMK,6_2 FTS-VA,8_2 FTS-RMK,8_2 FTS-VA,N-EtFOSAA-RMK,N-EtFOSAA-VA,N-MeFOSAA-RMK,N-MeFOSAA-VA,PFBS-RMK,PFBS-V,PFBA-RMK,PFBA-VA,PFDS-RMK,PFDS-VA,PFDA-RMK,PFDA-VA,PFDoA-RMK,PFDoA-VA,PFHpS-RMK,PFHpS-VA,PFHpA-RMK,PFHpA-VA,PFHxS-RMK,PFHxS-VA,PFHxA-RMK,PFHxA-VA,PFNS-RMK,PFNS-VA,PFNA-RMK,PFNA-VA,PFOSA-RMK,PFOSA-VA,PFOS-RMK,PFOS-VA,PFOA-RMK,PFOA-VA,PFPeS-RMK,PFPeS-VA,PFPeA-RMK,PFPeA-VA,PFTeDA-RMK,PFTeDA-VA,PFTrDA-RMK,PFTrDA-VA,PFUnA-RMK,PFUnA-VA
MIAMSUS1-18,8/6/2019,1001,<,7.7,<,7.7,<,7.7,<,19.0,<,19.0,<,3.8,<,7.7,<,3.8,<,3.8,<,3.8,<,3.8,<,3.8,<,3.8,<,3.8,<,3.8,<,3.8,<,3.8,<,3.8,<,3.8,<,3.8,<,3.8,<,3.8,<,3.8,<,3.8
NECBSUS3-10,8/15/2019,1101,<,8.7,<,8.7,<,8.7,<,22.0,<,22.0,n,2.3,n,3.3,<,4.3,<,4.3,<,4.3,<,4.3,<,4.3,n,1.4,<,4.3,<,4.3,<,4.3,<,4.3,n,3.0,n,2.4,<,4.3,<,4.3,<,4.3,<,4.3,<,4.3
STRVPAS2-01,8/5/2019,1001,<,8.0,<,8.0,<,8.0,<,20.0,<,20.0,<,4.0,<,8.0,<,4.0,<,4.0,<,4.0,<,4.0,<,4.0,<,4.0,<,4.0,<,4.0,<,4.0,<,4.0,<,4.0,<,4.0,<,4.0,<,4.0,<,4.0,<,4.0,<,4.0
STRVPAS2-17,9/4/2019,1201,<,8.7,<,8.7,<,8.7,<,22.0,<,22.0,<,4.3,<,8.7,<,4.3,<,4.3,<,4.3,<,4.3,<,4.3,<,4.3,<,4.3,<,4.3,<,4.3,<,4.3,<,4.3,<,4.3,<,4.3,<,4.3,<,4.3,<,4.3,<,4.3
STRVPAS2-28,6/4/2019,1001,<,8.0,<,8.0,<,8.0,<,20.0,<,20.0,,24.0,,8.4,<,4.0,<,4.0,<,4.0,<,4.0,,14.0,,78.0,,14.0,<,4.0,<,4.0,<,4.0,,8.7,,140.0,,12.0,,6.4,<,4.0,<,4.0,<,4.0
STRVPAS2-57,7/30/2019,901,<,8.7,<,8.7,<,8.7,<,22.0,<,22.0,<,4.3,<,8.7,<,4.3,<,4.3,<,4.3,<,4.3,<,4.3,<,4.3,<,4.3,<,4.3,<,4.3,<,4.3,<,4.3,,1.3,<,4.3,<,4.3,<,4.3,<,4.3,<,4.3
SURFPAS1-20,12/3/2019,1401,<,8.0,<,8.0,<,8.0,<,20.0,<,20.0,<,4.0,<,8.0,<,4.0,<,4.0,<,4.0,<,4.0,<,4.0,<,4.0,<,4.0,<,4.0,<,4.0,<,4.0,<,4.0,<,4.0,<,4.0,<,4.0,<,4.0,<,4.0,<,4.0
SURFPAS1-26,12/4/2019,1301,<,8.0,<,8.0,<,8.0,<,20.0,<,20.0,,7.4,,8.6,<,4.0,<,4.0,<,4.0,<,4.0,,4.2,,4.4,,4.3,<,4.0,<,4.0,<,4.0,,14.0,,7.6,<,4.0,,4.6,<,4.0,<,4.0,<,4.0
SURFPAS1-28,12/5/2019,1401,<,8.0,<,8.0,<,8.0,<,20.0,<,20.0,<,4.0,<,8.0,<,4.0,<,4.0,<,4.0,<,4.0,<,4.0,<,4.0,<,4.0,<,4.0,<,4.0,<,4.0,<,4.0,<,4.0,<,4.0,<,4.0,<,4.0,<,4.0,<,4.0
SURFPAS1-41,9/18/2019,1301,<,8.0,<,8.0,<,8.0,<,20.0,<,20.0,<,4.0,<,8.0,<,4.0,<,4.0,<,4.0,<,4.0,<,4.0,<,4.0,<,4.0,<,4.0,<,4.0,<,4.0,<,4.0,<,4.0,<,4.0,<,4.0,<,4.0,<,4.0,<,4.0
